merge_id_muni,id_muni1980,id_muni1985,id_muni1990,id_muni1995,id_muni2000,id_muni2005,id_muni2010,id_muni2015,id_muni2020,name_muni1980,name_muni1985,name_muni1990,name_muni1995,name_muni2000,name_muni2005,name_muni2010,name_muni2015,name_muni2020,note_merge_consol,note_merge_incorp,note_seirei,note_city,note_town,note_change_zone,note_change_name
2365,2365,2365,2365,2365,2365,2365,2210,2210,2210,青森県 南津軽郡 平賀町,青森県 南津軽郡 平賀町,青森県 南津軽郡 平賀町,青森県 南津軽郡 平賀町,青森県 南津軽郡 平賀町,青森県 南津軽郡 平賀町,青森県 平川市,青森県 平川市,青森県 平川市,2006年1月1日、尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設,,,,,,
2368,2368,2368,2368,2368,2368,2368,2210,2210,2210,青森県 南津軽郡 碇ケ関村,青森県 南津軽郡 碇ケ関村,青森県 南津軽郡 碇ケ関村,青森県 南津軽郡 碇ケ関村,青森県 南津軽郡 碇ケ関村,青森県 南津軽郡 碇ケ関村,青森県 平川市,青森県 平川市,青森県 平川市,2006年1月1日、尾上町(02363)、平賀町(02365)、碇ケ関村(02368)が合併し、平川市(02210)を新設,,,,,,
2301,2301,2301,2301,2301,2301,2301,2301,2301,2301,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,青森県 東津軽郡 平内町,,,,,,,
2303,2303,2303,2303,2303,2303,2303,2303,2303,2303,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,青森県 東津軽郡 今別町,,,,,,,
2304,2304,2304,2304,2304,2304,2304,2304,2304,2304,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,青森県 東津軽郡 蓬田村,,,,,,,
2302,2302,2302,2302,2302,2302,2307,2307,2307,2307,青森県 東津軽郡 蟹田町,青森県 東津軽郡 蟹田町,青森県 東津軽郡 蟹田町,青森県 東津軽郡 蟹田町,青森県 東津軽郡 蟹田町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,2005年3月28日、蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設,,,,,,
2305,2305,2305,2305,2305,2305,2307,2307,2307,2307,青森県 東津軽郡 平舘村,青森県 東津軽郡 平舘村,青森県 東津軽郡 平舘村,青森県 東津軽郡 平舘村,青森県 東津軽郡 平舘村,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,2005年3月28日、蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設,,,,,,
2306,2306,2306,2306,2306,2306,2307,2307,2307,2307,青森県 東津軽郡 三厩村,青森県 東津軽郡 三厩村,青森県 東津軽郡 三厩村,青森県 東津軽郡 三厩村,青森県 東津軽郡 三厩村,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,2005年3月28日、蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設,,,,,,
2307,,,,,,2307,2307,2307,2307,,,,,,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,青森県 東津軽郡 外ヶ浜町,2005年3月28日、蟹田町(02302)、平舘村(02305)、三厩村(02306)が合併し、外ヶ浜町(02307)を新設,,,,,,
2321,2321,2321,2321,2321,2321,2321,2321,2321,2321,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,青森県 西津軽郡 鰺ヶ沢町,,,,,,,
