year,id_muni,name_muni,pop
2020,2423,大間町,4718
2020,2424,東通村,5955
2020,2425,風間浦村,1636
2020,2426,佐井村,1788
2020,2441,三戸町,9082
2020,2442,五戸町,16042
2020,2443,田子町,4968
2020,2445,南部町,16809
2020,2446,階上町,13496
2020,2450,新郷村,2197
2020,3000,岩手県,1210534
2020,3201,盛岡市,289731
2020,3202,宮古市,50369
2020,3203,大船渡市,34728
2020,3205,花巻市,93193
2020,3206,北上市,93045
2020,3207,久慈市,33043
2020,3208,遠野市,25366
2020,3209,一関市,111932
2020,3210,陸前高田市,18262
2020,3211,釜石市,32078
2020,3213,二戸市,25513
2020,3214,八幡平市,24023
2020,3215,奥州市,112937
2020,3216,滝沢市,55579
2020,3301,雫石町,15731
2020,3302,葛巻町,5634
2020,3303,岩手町,12285
2020,3321,紫波町,32147
2020,3322,矢巾町,28056
2020,3366,西和賀町,5134
2020,3381,金ケ崎町,15535
2020,3402,平泉町,7252
2020,3441,住田町,5045
2020,3461,大槌町,11004
2020,3482,山田町,14320
2020,3483,岩泉町,8726
2020,3484,田野畑村,3059
2020,3485,普代村,2487
2020,3501,軽米町,8421
2020,3503,野田村,3936
2020,3506,九戸村,5378
2020,3507,洋野町,15091
2020,3524,一戸町,11494
2020,4000,宮城県,2301996
2020,4100,仙台市,1096704
2020,4101,仙台市青葉区,311590
2020,4102,仙台市宮城野区,196732
2020,4103,仙台市若林区,141475
2020,4104,仙台市太白区,234758
2020,4105,仙台市泉区,212149
2020,4202,石巻市,140151
2020,4203,塩竈市,52203
2020,4205,気仙沼市,61147
2020,4206,白石市,32758
2020,4207,名取市,78718
2020,4208,角田市,27976
2020,4209,多賀城市,62827
2020,4211,岩沼市,44068
2020,4212,登米市,76037
2020,4213,栗原市,64637
2020,4214,東松島市,39098
2020,4215,大崎市,127330
2020,4216,富谷市,51651
2020,4301,蔵王町,11418
2020,4302,七ヶ宿町,1262
2020,4321,大河原町,23571
2020,4322,村田町,10666
2020,4323,柴田町,38271
2020,4324,川崎町,8345
2020,4341,丸森町,12262
2020,4361,亘理町,33087
2020,4362,山元町,12046
2020,4401,松島町,13323
2020,4404,七ヶ浜町,18132
2020,4406,利府町,35182
2020,4421,大和町,28786
2020,4422,大郷町,7813
2020,4424,大衡村,5849
2020,4444,色麻町,6698
2020,4445,加美町,21943
2020,4501,涌谷町,15388
2020,4505,美里町,23994
2020,4581,女川町,6430
2020,4606,南三陸町,12225
2020,5000,秋田県,959502
2020,5201,秋田市,307672
2020,5202,能代市,49968
2020,5203,横手市,85555
2020,5204,大館市,69237
2020,5206,男鹿市,25154
2020,5207,湯沢市,42091
2020,5209,鹿角市,29088
2020,5210,由利本荘市,74707
2020,5211,潟上市,31720
2020,5212,大仙市,77657
2020,5213,北秋田市,30198
2020,5214,にかほ市,23435
2020,5215,仙北市,24610
2020,5303,小坂町,4780
2020,5327,上小阿仁村,2063
2020,5346,藤里町,2896
2020,5348,三種町,15254
2020,5349,八峰町,6577
2020,5361,五城目町,8538
2020,5363,八郎潟町,5583
2020,5366,井川町,4566
2020,5368,大潟村,3011
2020,5434,美郷町,18613
2020,5463,羽後町,13825
2020,5464,東成瀬村,2704
2020,6000,山形県,1068027
2020,6201,山形市,247590
2020,6202,米沢市,81252
2020,6203,鶴岡市,122347
2020,6204,酒田市,100273
2020,6205,新庄市,34432
2020,6206,寒河江市,40189
2020,6207,上山市,29110
2020,6208,村山市,22516
2020,6209,長井市,26543
2020,6210,天童市,62140
2020,6211,東根市,47682
2020,6212,尾花沢市,14971
2020,6213,南陽市,30420
2020,6301,山辺町,13725
2020,6302,中山町,10746
2020,6321,河北町,17641
2020,6322,西川町,4956
2020,6323,朝日町,6366
2020,6324,大江町,7646
2020,6341,大石田町,6577
2020,6361,金山町,5071
2020,6362,最上町,8080
2020,6363,舟形町,5007
2020,6364,真室川町,7203
2020,6365,大蔵村,3028
2020,6366,鮭川村,3902
2020,6367,戸沢村,4199
2020,6381,高畠町,22463
2020,6382,川西町,14558
2020,6401,小国町,7107
2020,6402,白鷹町,12890
2020,6403,飯豊町,6613
2020,6426,三川町,7601
2020,6428,庄内町,20151
2020,6461,遊佐町,13032
2020,7000,福島県,1833152
2020,7201,福島市,282693
2020,7202,会津若松市,117376
2020,7203,郡山市,327692
2020,7204,いわき市,332931
2020,7205,白河市,59491
2020,7207,須賀川市,74992
2020,7208,喜多方市,44760
2020,7209,相馬市,34865
2020,7210,二本松市,53557
2020,7211,田村市,35169
2020,7212,南相馬市,59005
2020,7213,伊達市,58240
2020,7214,本宮市,30236
2020,7301,桑折町,11459
2020,7303,国見町,8639
2020,7308,川俣町,12170
2020,7322,大玉村,8900
2020,7342,鏡石町,12318
2020,7344,天栄村,5194
2020,7362,下郷町,5264
2020,7364,檜枝岐村,504
2020,7367,只見町,4044
2020,7368,南会津町,14451
2020,7402,北塩原村,2556
2020,7405,西会津町,5770
2020,7407,磐梯町,3322
2020,7408,猪苗代町,13552
2020,7421,会津坂下町,15068
2020,7422,湯川村,3081
2020,7423,柳津町,3081
2020,7444,三島町,1452
2020,7445,金山町,1862
2020,7446,昭和村,1246
2020,7447,会津美里町,19014
2020,7461,西郷村,20808
2020,7464,泉崎村,6213
2020,7465,中島村,4885
2020,7466,矢吹町,17287
2020,7481,棚倉町,13343
2020,7482,矢祭町,5392
2020,7483,塙町,8302
2020,7484,鮫川村,3049
2020,7501,石川町,14644
2020,7502,玉川村,6392
2020,7503,平田村,5826
2020,7504,浅川町,6036
2020,7505,古殿町,4825
2020,7521,三春町,17018
2020,7522,小野町,9471
2020,7541,広野町,5412
2020,7542,楢葉町,3710
2020,7543,富岡町,2128
2020,7544,川内村,2044
2020,7545,大熊町,847
2020,7546,双葉町,
2020,7547,浪江町,1923
2020,7548,葛尾村,420
2020,7561,新地町,7905
2020,7564,飯舘村,1318
2020,8000,茨城県,2867009
2020,8201,水戸市,270685
2020,8202,日立市,174508
2020,8203,土浦市,142074
2020,8204,古河市,139344
2020,8205,石岡市,73061
2020,8207,結城市,50645
2020,8208,龍ケ崎市,76420
2020,8210,下妻市,42521
2020,8211,常総市,60834
2020,8212,常陸太田市,48602
2020,8214,高萩市,27699
2020,8215,北茨城市,41801
2020,8216,笠間市,73173
2020,8217,取手市,104524
2020,8219,牛久市,84651
2020,8220,つくば市,241656
2020,8221,ひたちなか市,156581
2020,8222,鹿嶋市,66950
2020,8223,潮来市,27604
2020,8224,守谷市,68421
2020,8225,常陸大宮市,39267
2020,8226,那珂市,53502
2020,8227,筑西市,100753
2020,8228,坂東市,52265
2020,8229,稲敷市,39039
2020,8230,かすみがうら市,40087
2020,8231,桜川市,39122
2020,8232,神栖市,95454
2020,8233,行方市,32185
2020,8234,鉾田市,45953
2020,8235,つくばみらい市,49872
2020,8236,小美玉市,48870
2020,8302,茨城町,31401
2020,8309,大洗町,15715
2020,8310,城里町,18097
2020,8341,東海村,37891
2020,8364,大子町,15736
2020,8442,美浦村,14602
2020,8443,阿見町,48553
2020,8447,河内町,8231
2020,8521,八千代町,21026
2020,8542,五霞町,8093
2020,8546,境町,24201
2020,8564,利根町,15340
2020,9000,栃木県,1933146
2020,9201,宇都宮市,518757
2020,9202,足利市,144746
2020,9203,栃木市,155549
2020,9204,佐野市,116228
2020,9205,鹿沼市,94033
2020,9206,日光市,77661
2020,9208,小山市,166666
2020,9209,真岡市,78190
2020,9210,大田原市,72087
2020,9211,矢板市,31165
2020,9213,那須塩原市,115210
2020,9214,さくら市,44513
2020,9215,那須烏山市,24875
2020,9216,下野市,59507
2020,9301,上三川町,30806
2020,9342,益子町,21898
2020,9343,茂木町,11891
2020,9344,市貝町,11262
2020,9345,芳賀町,14961
2020,9361,壬生町,39474
2020,9364,野木町,24913
2020,9384,塩谷町,10354
2020,9386,高根沢町,29229
2020,9407,那須町,23956
2020,9411,那珂川町,15215
2020,10000,群馬県,1939110
2020,10201,前橋市,332149
2020,10202,高崎市,372973
2020,10203,桐生市,106445
2020,10204,伊勢崎市,211850
2020,10205,太田市,223014
2020,10206,沼田市,45337
2020,10207,館林市,75309
2020,10208,渋川市,74581
2020,10209,藤岡市,63261
2020,10210,富岡市,47446
2020,10211,安中市,54907
2020,10212,みどり市,49648
2020,10344,榛東村,14216
2020,10345,吉岡町,21792
2020,10366,上野村,1128
2020,10367,神流町,1645
2020,10382,下仁田町,6576
2020,10383,南牧村,1611
2020,10384,甘楽町,12491
2020,10421,中之条町,15386
2020,10424,長野原町,5095
2020,10425,嬬恋村,8850
2020,10426,草津町,6049
2020,10428,高山村,3511
2020,10429,東吾妻町,12728
2020,10443,片品村,3993
2020,10444,川場村,3480
2020,10448,昭和村,6953
2020,10449,みなかみ町,17195
2020,10464,玉村町,36054
2020,10521,板倉町,14083
2020,10522,明和町,10882
2020,10523,千代田町,10861
2020,10524,大泉町,42089
2020,10525,邑楽町,25522
2020,11000,埼玉県,7344765
2020,11100,さいたま市,1324025
2020,11101,さいたま市西区,93499
2020,11102,さいたま市北区,149242
2020,11103,さいたま市大宮区,117784
2020,11104,さいたま市見沼区,165049
2020,11105,さいたま市中央区,103269
2020,11106,さいたま市桜区,98661
2020,11107,さいたま市浦和区,164822
2020,11108,さいたま市南区,191563
2020,11109,さいたま市緑区,128321
2020,11110,さいたま市岩槻区,111815
2020,11201,川越市,354571
2020,11202,熊谷市,194415
2020,11203,川口市,594274
2020,11206,行田市,78617
2020,11207,秩父市,59674
2020,11208,所沢市,342464
2020,11209,飯能市,80361
2020,11210,加須市,111623
2020,11211,本庄市,78569
2020,11212,東松山市,91791
2020,11214,春日部市,229792
2020,11215,狭山市,148699
2020,11216,羽生市,52862
2020,11217,鴻巣市,116828
2020,11218,深谷市,141268
2020,11219,上尾市,226940
2020,11221,草加市,248304
2020,11222,越谷市,341621
2020,11223,蕨市,74283
2020,11224,戸田市,140899
2020,11225,入間市,145651
2020,11227,朝霞市,141083
2020,11228,志木市,75346
2020,11229,和光市,83989
2020,11230,新座市,166017
2020,11231,桶川市,74748
2020,11232,久喜市,150582
2020,11233,北本市,65201
2020,11234,八潮市,93363
2020,11235,富士見市,111859
2020,11237,三郷市,142145
2020,11238,蓮田市,61499
2020,11239,坂戸市,100275
2020,11240,幸手市,50066
2020,11241,鶴ヶ島市,70117
2020,11242,日高市,54571
2020,11243,吉川市,71979
2020,11245,ふじみ野市,113597
2020,11246,白岡市,52214
2020,11301,伊奈町,44841
2020,11324,三芳町,38434
2020,11326,毛呂山町,35366
2020,11327,越生町,11029
2020,11341,滑川町,19732
2020,11342,嵐山町,17889
2020,11343,小川町,28524
2020,11346,川島町,19378
2020,11347,吉見町,18192
2020,11348,鳩山町,13560
2020,11349,ときがわ町,10540
2020,11361,横瀬町,7979
2020,11362,皆野町,9302
2020,11363,長瀞町,6807
2020,11365,小鹿野町,10928
2020,11369,東秩父村,2709
2020,11381,美里町,11039
2020,11383,神川町,13359
2020,11385,上里町,30343
2020,11408,寄居町,32374
2020,11442,宮代町,34147
2020,11464,杉戸町,43845
2020,11465,松伏町,28266
2020,12000,千葉県,6284480
2020,12100,千葉市,974951
2020,12101,千葉市中央区,211736
2020,12102,千葉市花見川区,177328
2020,12103,千葉市稲毛区,160582
2020,12104,千葉市若葉区,146940
2020,12105,千葉市緑区,129421
2020,12106,千葉市美浜区,148944
2020,12202,銚子市,58431
2020,12203,市川市,496676
2020,12204,船橋市,642907
2020,12205,館山市,45153
2020,12206,木更津市,136166
2020,12207,松戸市,498232
2020,12208,野田市,152638
2020,12210,茂原市,86782
2020,12211,成田市,132906
2020,12212,佐倉市,168743
2020,12213,東金市,58219
2020,12215,旭市,63745
2020,12216,習志野市,176197
2020,12217,柏市,426468
2020,12218,勝浦市,16927
2020,12219,市原市,269524
2020,12220,流山市,199849
2020,12221,八千代市,199498
2020,12222,我孫子市,130510
2020,12223,鴨川市,32116
2020,12224,鎌ケ谷市,109932
2020,12225,君津市,82206
2020,12226,富津市,42465
2020,12227,浦安市,171362
2020,12228,四街道市,93576
2020,12229,袖ケ浦市,63883
2020,12230,八街市,67455
2020,12231,印西市,102609
2020,12232,白井市,62441
2020,12233,富里市,49735
2020,12234,南房総市,35831
2020,12235,匝瑳市,35040
2020,12236,香取市,72356
2020,12237,山武市,48444
2020,12238,いすみ市,35544
2020,12239,大網白里市,48129
2020,12322,酒々井町,20745
2020,12329,栄町,20127
2020,12342,神崎町,5816
2020,12347,多古町,13735
2020,12349,東庄町,13228
2020,12403,九十九里町,14639
2020,12409,芝山町,7033
2020,12410,横芝光町,22075
2020,12421,一宮町,11897
2020,12422,睦沢町,6760
2020,12423,長生村,13803
2020,12424,白子町,10305
2020,12426,長柄町,6721
2020,12427,長南町,7198
2020,12441,大多喜町,8885
2020,12443,御宿町,6874
2020,12463,鋸南町,6993
2020,13000,東京都,14047594
2020,13100,特別区部,9733276
2020,13101,千代田区,66680
2020,13102,中央区,169179
2020,13103,港区,260486
2020,13104,新宿区,349385
2020,13105,文京区,240069
2020,13106,台東区,211444
2020,13107,墨田区,272085
2020,13108,江東区,524310
2020,13109,品川区,422488
2020,13110,目黒区,288088
2020,13111,大田区,748081
2020,13112,世田谷区,943664
2020,13113,渋谷区,243883
2020,13114,中野区,344880
2020,13115,杉並区,591108
2020,13116,豊島区,301599
2020,13117,北区,355213
2020,13118,荒川区,217475
2020,13119,板橋区,584483
2020,13120,練馬区,752608
2020,13121,足立区,695043
2020,13122,葛飾区,453093
2020,13123,江戸川区,697932
2020,13201,八王子市,579355
2020,13202,立川市,183581
2020,13203,武蔵野市,150149
2020,13204,三鷹市,195391
2020,13205,青梅市,133535
2020,13206,府中市,262790
2020,13207,昭島市,113949
2020,13208,調布市,242614
2020,13209,町田市,431079
2020,13210,小金井市,126074
2020,13211,小平市,198739
2020,13212,日野市,190435
2020,13213,東村山市,151815
2020,13214,国分寺市,129242
2020,13215,国立市,77130
2020,13218,福生市,56414
2020,13219,狛江市,84772
2020,13220,東大和市,83901
2020,13221,清瀬市,76208
2020,13222,東久留米市,115271
2020,13223,武蔵村山市,70829
2020,13224,多摩市,146951
2020,13225,稲城市,93151
2020,13227,羽村市,54326
2020,13228,あきる野市,79292
2020,13229,西東京市,207388
2020,13303,瑞穂町,31765
2020,13305,日の出町,16958
2020,13307,檜原村,2003
2020,13308,奥多摩町,4750
2020,13361,大島町,7102
2020,13362,利島村,327
2020,13363,新島村,2441
2020,13364,神津島村,1855
2020,13381,三宅村,2273
2020,13382,御蔵島村,323
2020,13401,八丈町,7042
2020,13402,青ヶ島村,169
2020,13421,小笠原村,2929
2020,14000,神奈川県,9237337
2020,14100,横浜市,3777491
2020,14101,横浜市鶴見区,297437
2020,14102,横浜市神奈川区,247267
2020,14103,横浜市西区,104935
2020,14104,横浜市中区,151388
2020,14105,横浜市南区,198157
2020,14106,横浜市保土ケ谷区,207811
2020,14107,横浜市磯子区,166731
2020,14108,横浜市金沢区,198939
2020,14109,横浜市港北区,358530
2020,14110,横浜市戸塚区,283709
2020,14111,横浜市港南区,215248
2020,14112,横浜市旭区,245174
2020,14113,横浜市緑区,183082
2020,14114,横浜市瀬谷区,122623
2020,14115,横浜市栄区,120194
2020,14116,横浜市泉区,152378
2020,14117,横浜市青葉区,310756
2020,14118,横浜市都筑区,213132
2020,14130,川崎市,1538262
2020,14131,川崎市川崎区,232965
2020,14132,川崎市幸区,171119
2020,14133,川崎市中原区,263683
2020,14134,川崎市高津区,234328
2020,14135,川崎市多摩区,221734
2020,14136,川崎市宮前区,233728
2020,14137,川崎市麻生区,180705
2020,14150,相模原市,725493
2020,14151,相模原市緑区,170207
2020,14152,相模原市中央区,273875
2020,14153,相模原市南区,281411
2020,14201,横須賀市,388078
2020,14203,平塚市,258422
2020,14204,鎌倉市,172710
