"統計名：","令和２年国勢調査 人口等基本集計　（主な内容：男女・年齢・配偶関係，世帯の構成，住居の状態，母子・父子世帯，国籍など）"
"表番号：","1-1-1"
"表題：","[総人口・総世帯数・男女・年齢・配偶関係] 男女別人口－全国，都道府県，市区町村（2000年（平成12年）市区町村含む）"
"実施年月：","2020年","10月"
"市区町村時点（年月日）：","-"

"***","当該数値がないもの"
"-","当該数値がないもの"

"","","","","/表章事項 コード","2020_01","2020_01","2020_01"
"","","","","/表章事項","人口【人】","人口【人】","人口【人】"
"","","","","/男女 コード","0","1","2"
"時間軸（年次） コード","時間軸（年次）","全国，都道府県，市区町村（2000年市区町村含む） コード","全国，都道府県，市区町村（2000年市区町村含む）","/男女","総数","男","女"
"2020000000","2020年","01427","由仁町","","4,822","2,302","2,520"
"2020000000","2020年","01428","長沼町","","10,289","4,919","5,370"
"2020000000","2020年","01429","栗山町","","11,272","5,176","6,096"
"2020000000","2020年","01430","月形町","","3,691","2,185","1,506"
"2020000000","2020年","01431","浦臼町","","1,732","845","887"
"2020000000","2020年","01432","新十津川町","","6,484","2,976","3,508"
"2020000000","2020年","01433","妹背牛町","","2,693","1,290","1,403"
"2020000000","2020年","01434","秩父別町","","2,329","1,072","1,257"
"2020000000","2020年","01436","雨竜町","","2,389","1,165","1,224"
"2020000000","2020年","01437","北竜町","","1,724","823","901"
"2020000000","2020年","01438","沼田町","","2,909","1,392","1,517"
"2020000000","2020年","01452","鷹栖町","","6,567","3,105","3,462"
"2020000000","2020年","01453","東神楽町","","10,127","4,702","5,425"
"2020000000","2020年","01454","当麻町","","6,319","2,912","3,407"
"2020000000","2020年","01455","比布町","","3,520","1,662","1,858"
"2020000000","2020年","01456","愛別町","","2,605","1,215","1,390"
"2020000000","2020年","01457","上川町","","3,500","1,708","1,792"
"2020000000","2020年","01458","東川町","","8,314","3,877","4,437"
"2020000000","2020年","01459","美瑛町","","9,668","4,495","5,173"
"2020000000","2020年","01460","上富良野町","","10,348","5,363","4,985"
"2020000000","2020年","01461","中富良野町","","4,733","2,260","2,473"
"2020000000","2020年","01462","南富良野町","","2,376","1,228","1,148"
"2020000000","2020年","01463","占冠村","","1,306","653","653"
"2020000000","2020年","01464","和寒町","","3,192","1,497","1,695"
"2020000000","2020年","01465","剣淵町","","2,926","1,425","1,501"
"2020000000","2020年","01468","下川町","","3,126","1,491","1,635"
"2020000000","2020年","01469","美深町","","4,145","2,038","2,107"
"2020000000","2020年","01470","音威子府村","","706","365","341"
"2020000000","2020年","01471","中川町","","1,528","805","723"
"2020000000","2020年","01472","幌加内町","","1,370","681","689"
"2020000000","2020年","01481","増毛町","","3,908","1,776","2,132"
"2020000000","2020年","01482","小平町","","2,994","1,431","1,563"
"2020000000","2020年","01483","苫前町","","2,936","1,428","1,508"
"2020000000","2020年","01484","羽幌町","","6,548","3,163","3,385"
"2020000000","2020年","01485","初山別村","","1,080","518","562"
"2020000000","2020年","01486","遠別町","","2,520","1,222","1,298"
"2020000000","2020年","01487","天塩町","","2,950","1,478","1,472"
"2020000000","2020年","01511","猿払村","","2,611","1,285","1,326"
"2020000000","2020年","01512","浜頓別町","","3,448","1,675","1,773"
"2020000000","2020年","01513","中頓別町","","1,637","818","819"
"2020000000","2020年","01514","枝幸町","","7,565","3,600","3,965"
"2020000000","2020年","01516","豊富町","","3,974","2,098","1,876"
"2020000000","2020年","01517","礼文町","","2,509","1,284","1,225"
"2020000000","2020年","01518","利尻町","","2,004","994","1,010"
"2020000000","2020年","01519","利尻富士町","","2,458","1,188","1,270"
"2020000000","2020年","01520","幌延町","","2,371","1,290","1,081"
"2020000000","2020年","01543","美幌町","","18,697","9,063","9,634"
"2020000000","2020年","01544","津別町","","4,373","2,096","2,277"
"2020000000","2020年","01545","斜里町","","11,418","5,672","5,746"
"2020000000","2020年","01546","清里町","","3,883","1,882","2,001"
"2020000000","2020年","01547","小清水町","","4,623","2,207","2,416"
"2020000000","2020年","01549","訓子府町","","4,677","2,241","2,436"
"2020000000","2020年","01550","置戸町","","2,775","1,281","1,494"
"2020000000","2020年","01552","佐呂間町","","4,875","2,296","2,579"
"2020000000","2020年","01555","遠軽町","","19,241","9,337","9,904"
"2020000000","2020年","01559","湧別町","","8,270","3,947","4,323"
"2020000000","2020年","01560","滝上町","","2,421","1,177","1,244"
"2020000000","2020年","01561","興部町","","3,628","1,768","1,860"
"2020000000","2020年","01562","西興部村","","1,053","520","533"
"2020000000","2020年","01563","雄武町","","4,199","1,999","2,200"
"2020000000","2020年","01564","大空町","","6,775","3,287","3,488"
"2020000000","2020年","01571","豊浦町","","3,821","1,781","2,040"
"2020000000","2020年","01575","壮瞥町","","2,743","1,285","1,458"
"2020000000","2020年","01578","白老町","","16,212","7,706","8,506"
"2020000000","2020年","01581","厚真町","","4,432","2,249","2,183"
"2020000000","2020年","01584","洞爺湖町","","8,442","3,909","4,533"
"2020000000","2020年","01585","安平町","","7,340","3,632","3,708"
"2020000000","2020年","01586","むかわ町","","7,651","3,779","3,872"
"2020000000","2020年","01601","日高町","","11,279","5,712","5,567"
"2020000000","2020年","01602","平取町","","4,776","2,395","2,381"
"2020000000","2020年","01604","新冠町","","5,309","2,603","2,706"
"2020000000","2020年","01607","浦河町","","12,074","5,975","6,099"
"2020000000","2020年","01608","様似町","","4,043","1,923","2,120"
"2020000000","2020年","01609","えりも町","","4,374","2,230","2,144"
"2020000000","2020年","01610","新ひだか町","","21,517","10,473","11,044"
"2020000000","2020年","01631","音更町","","43,576","20,630","22,946"
"2020000000","2020年","01632","士幌町","","5,848","2,891","2,957"
"2020000000","2020年","01633","上士幌町","","4,778","2,343","2,435"
"2020000000","2020年","01634","鹿追町","","5,266","2,572","2,694"
"2020000000","2020年","01635","新得町","","5,817","2,900","2,917"
"2020000000","2020年","01636","清水町","","9,094","4,478","4,616"
"2020000000","2020年","01637","芽室町","","18,048","8,612","9,436"
"2020000000","2020年","01638","中札内村","","3,884","1,880","2,004"
"2020000000","2020年","01639","更別村","","3,080","1,519","1,561"
"2020000000","2020年","01641","大樹町","","5,420","2,714","2,706"
"2020000000","2020年","01642","広尾町","","6,387","3,096","3,291"
"2020000000","2020年","01643","幕別町","","25,766","12,243","13,523"
"2020000000","2020年","01644","池田町","","6,294","2,967","3,327"
"2020000000","2020年","01645","豊頃町","","3,022","1,478","1,544"
"2020000000","2020年","01646","本別町","","6,618","3,228","3,390"
"2020000000","2020年","01647","足寄町","","6,563","3,215","3,348"
"2020000000","2020年","01648","陸別町","","2,264","1,138","1,126"
"2020000000","2020年","01649","浦幌町","","4,387","2,138","2,249"
"2020000000","2020年","01661","釧路町","","19,105","9,101","10,004"
"2020000000","2020年","01662","厚岸町","","8,892","4,173","4,719"
"2020000000","2020年","01663","浜中町","","5,507","2,726","2,781"
"2020000000","2020年","01664","標茶町","","7,230","3,471","3,759"
"2020000000","2020年","01665","弟子屈町","","6,955","3,314","3,641"
"2020000000","2020年","01667","鶴居村","","2,558","1,254","1,304"
"2020000000","2020年","01668","白糠町","","7,289","3,414","3,875"
"2020000000","2020年","01691","別海町","","14,380","7,286","7,094"
"2020000000","2020年","01692","中標津町","","23,010","11,339","11,671"
"2020000000","2020年","01693","標津町","","5,023","2,465","2,558"
"2020000000","2020年","01694","羅臼町","","4,722","2,346","2,376"
"2020000000","2020年","02000","青森県","","1,237,984","583,402","654,582"
"2020000000","2020年","02201","青森市","","275,192","128,049","147,143"
"2020000000","2020年","02202","弘前市","","168,466","77,251","91,215"
"2020000000","2020年","02203","八戸市","","223,415","106,818","116,597"
"2020000000","2020年","02204","黒石市","","31,946","14,789","17,157"
"2020000000","2020年","02205","五所川原市","","51,415","23,252","28,163"
"2020000000","2020年","02206","十和田市","","60,378","28,685","31,693"
"2020000000","2020年","02207","三沢市","","39,152","19,602","19,550"
"2020000000","2020年","02208","むつ市","","54,103","26,104","27,999"
"2020000000","2020年","02209","つがる市","","30,934","14,363","16,571"
"2020000000","2020年","02210","平川市","","30,567","14,188","16,379"
"2020000000","2020年","02301","平内町","","10,126","4,818","5,308"
"2020000000","2020年","02303","今別町","","2,334","1,119","1,215"
"2020000000","2020年","02304","蓬田村","","2,540","1,211","1,329"
"2020000000","2020年","02307","外ヶ浜町","","5,401","2,527","2,874"
"2020000000","2020年","02321","鰺ヶ沢町","","9,044","4,145","4,899"
"2020000000","2020年","02323","深浦町","","7,346","3,397","3,949"
"2020000000","2020年","02343","西目屋村","","1,265","589","676"
"2020000000","2020年","02361","藤崎町","","14,573","6,748","7,825"
"2020000000","2020年","02362","大鰐町","","8,665","3,934","4,731"
"2020000000","2020年","02367","田舎館村","","7,326","3,425","3,901"
"2020000000","2020年","02381","板柳町","","12,700","5,806","6,894"
"2020000000","2020年","02384","鶴田町","","12,074","5,553","6,521"
"2020000000","2020年","02387","中泊町","","9,657","4,432","5,225"
"2020000000","2020年","02401","野辺地町","","12,374","5,776","6,598"
"2020000000","2020年","02402","七戸町","","14,556","6,964","7,592"
"2020000000","2020年","02405","六戸町","","10,447","5,084","5,363"
"2020000000","2020年","02406","横浜町","","4,229","2,071","2,158"
"2020000000","2020年","02408","東北町","","16,428","7,846","8,582"
"2020000000","2020年","02411","六ヶ所村","","10,367","5,910","4,457"
"2020000000","2020年","02412","おいらせ町","","24,273","11,627","12,646"
"2020000000","2020年","02423","大間町","","4,718","2,375","2,343"
"2020000000","2020年","02424","東通村","","5,955","3,162","2,793"
"2020000000","2020年","02425","風間浦村","","1,636","779","857"
"2020000000","2020年","02426","佐井村","","1,788","883","905"
"2020000000","2020年","02441","三戸町","","9,082","4,288","4,794"
"2020000000","2020年","02442","五戸町","","16,042","7,676","8,366"
"2020000000","2020年","02443","田子町","","4,968","2,376","2,592"
"2020000000","2020年","02445","南部町","","16,809","7,884","8,925"
"2020000000","2020年","02446","階上町","","13,496","6,827","6,669"
"2020000000","2020年","02450","新郷村","","2,197","1,069","1,128"
"2020000000","2020年","03000","岩手県","","1,210,534","582,952","627,582"
"2020000000","2020年","03201","盛岡市","","289,731","136,919","152,812"
"2020000000","2020年","03202","宮古市","","50,369","24,381","25,988"
"2020000000","2020年","03203","大船渡市","","34,728","16,679","18,049"
"2020000000","2020年","03205","花巻市","","93,193","44,423","48,770"
"2020000000","2020年","03206","北上市","","93,045","46,852","46,193"
"2020000000","2020年","03207","久慈市","","33,043","15,883","17,160"
"2020000000","2020年","03208","遠野市","","25,366","12,222","13,144"
"2020000000","2020年","03209","一関市","","111,932","54,254","57,678"
"2020000000","2020年","03210","陸前高田市","","18,262","8,831","9,431"
"2020000000","2020年","03211","釜石市","","32,078","15,369","16,709"
"2020000000","2020年","03213","二戸市","","25,513","11,993","13,520"
"2020000000","2020年","03214","八幡平市","","24,023","11,509","12,514"
"2020000000","2020年","03215","奥州市","","112,937","54,840","58,097"
"2020000000","2020年","03216","滝沢市","","55,579","27,146","28,433"
"2020000000","2020年","03301","雫石町","","15,731","7,505","8,226"
"2020000000","2020年","03302","葛巻町","","5,634","2,731","2,903"
"2020000000","2020年","03303","岩手町","","12,285","5,970","6,315"
"2020000000","2020年","03321","紫波町","","32,147","15,390","16,757"
"2020000000","2020年","03322","矢巾町","","28,056","13,337","14,719"
"2020000000","2020年","03366","西和賀町","","5,134","2,380","2,754"
"2020000000","2020年","03381","金ケ崎町","","15,535","8,030","7,505"
"2020000000","2020年","03402","平泉町","","7,252","3,500","3,752"
"2020000000","2020年","03441","住田町","","5,045","2,470","2,575"
"2020000000","2020年","03461","大槌町","","11,004","5,234","5,770"
"2020000000","2020年","03482","山田町","","14,320","6,898","7,422"
"2020000000","2020年","03483","岩泉町","","8,726","4,327","4,399"
"2020000000","2020年","03484","田野畑村","","3,059","1,527","1,532"
"2020000000","2020年","03485","普代村","","2,487","1,244","1,243"
"2020000000","2020年","03501","軽米町","","8,421","4,090","4,331"
"2020000000","2020年","03503","野田村","","3,936","1,863","2,073"
"2020000000","2020年","03506","九戸村","","5,378","2,556","2,822"
"2020000000","2020年","03507","洋野町","","15,091","7,101","7,990"
"2020000000","2020年","03524","一戸町","","11,494","5,498","5,996"
"2020000000","2020年","04000","宮城県","","2,301,996","1,122,598","1,179,398"
"2020000000","2020年","04100","仙台市","","1,096,704","531,617","565,087"
"2020000000","2020年","04101","仙台市青葉区","","311,590","150,932","160,658"
"2020000000","2020年","04102","仙台市宮城野区","","196,732","96,341","100,391"
"2020000000","2020年","04103","仙台市若林区","","141,475","69,633","71,842"
